review,sentiment,cluster
it's not working,neutral,1
"Hello, Iâ€™m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says â€œBoaMobile closed because this app has a bug.â€ I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",negative,1
exceptional,neutral,1
BoA Mobile good bank,positive,2
this is worest app 24/7 loading,neutral,1
This App is not interest for Android phone Please update it .,neutral,1
BoA system is confartable,neutral,2
very nice Abyssinia bank is choice all,positive,1
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",negative,1
Good service.,positive,1
the app crush frequently,negative,1
good,positive,1
You guys keeps getting worst,negative,1
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Canâ€™t log in, canâ€™t transfer money, canâ€™t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career pathğŸ™",positive,1
BoA,neutral,2
but not opening on android,neutral,1
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,negative,1
amazing,positive,1
excellent app,positive,1
excellent,positive,1
áˆáˆ‹á‹¬ áŠ¨á‰ á‹°,neutral,1
"this app does no work on Samsung a51, it just gives a preview of the logo",negative,1
nice,positive,1
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",negative,1
Best app,positive,1
liking this application good ğŸ‘,positive,1
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",negative,1
wow,positive,1
it's really good ğŸ‘,positive,1
Bad app . it stuck when you open and noting WORKS.,negative,3
"the app isn't working after it asked me the password it starts loading, but it doesn't open",neutral,1
Best,positive,1
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,negative,1
yideg,neutral,1
áŠ á‹­áŠ¨áá‰µáˆ áŠ¥áŠ®,neutral,1
great boa,positive,2
boa of mobile backing,neutral,2
faster bank of Abissinya,neutral,1
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,negative,1
it just doesn't work...so frustrating,positive,1
like,positive,1
it's not work correctly... you must have update it,neutral,1
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",positive,1
after i typed in my password it says successfully logged out ...and goes back to the first page,positive,1
good but they don't update enough don't add new things,positive,1
very good,positive,1
thank you,positive,1
it doesn't work period z slowest mobile banking ever i would rather use *815#,neutral,1
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",neutral,1
good application,positive,1
this version is not working for me I cannot even buy card. I cannot send money,neutral,1
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",negative,1
always problematic hardly works,negative,1
considering the fact the bank is huge this app really bad you could do better,positive,1
best app,positive,1
"worst app and Bank ever u be ashamed, scammer",negative,1
great BoA,positive,2
best,positive,1
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,positive,1
there is no speed,negative,1
"For anyone who wants to download it, just don't!!!",neutral,1
wonderful,positive,1
all worck,neutral,1
Loved it,positive,1
Wow,positive,1
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",positive,1
Improved to be the best,positive,1
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",negative,1
BoA Greqt Ethiopian bank.,neutral,2
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",positive,1
Almost better compared to cbe where it is not qualified for,positive,1
what awesome apps. it is very simple to use and more much important apps.,positive,1
Wonderfull app,neutral,1
i can't use this app why?,neutral,1
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,positive,1
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,negative,1
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,negative,1
Good app,positive,1
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",neutral,1
It has good features but sometimes it doesn't work...0,positive,1
Very poor proformance,negative,1
It's not opening. Really frustrating,positive,1
Verry Amazing App from all IB,positive,1
Not working on this days,neutral,1
Thank you BoA,positive,2
best banking app in the wworld,positive,1
Nice app and it's easy to use,positive,1
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachableâ€¦it is serious issue!",positive,1
This is help full i like ittttt,positive,1
The is not functional at all?,neutral,1
Best bank,positive,1
Make it easy and convienient to use and perfect for all to high prefrence and choice.,positive,1
ğŸ‡ªğŸ‡¹ğŸ‡ªğŸ‡¹ğŸ‡ªğŸ‡¹ğŸ‡ªğŸ‡¹ğŸ‡ªğŸ‡¹ğŸ‡ªğŸ‡¹ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,neutral,1
I have been using this app for two years.It is amazing.,positive,1
Good ğŸ‘,positive,1
Sad experience,negative,1
Always do update and that is annoying,negative,1
"Best app, somehow waiting a few minutes",positive,1
I can't dijitalize my atm in the apollo app on my phone,neutral,1
Whenever I try to sign in app close please fixed it out,positive,1
Beter,neutral,1
Boa,neutral,2
á‰ áŒ£áˆ á‹¨áˆšá‹«áˆµáŒ áˆ‹ áŠ á• á‰ áŒ£áˆ á‹¨á‹ˆáˆ¨á‹° á‹œáˆ® áŠá‹ á‹¨áˆáˆ°áŒ á‹ á‹˜áˆ® It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,neutral,1
Aadan Axmed Barkhadle,neutral,1
ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ¤¬ğŸ¤¬ğŸ¤¬,neutral,1
Horrible customer service and app crashes Horrible!!,negative,1
I love it,positive,1
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,neutral,1
GoodğŸ™,positive,1
Like to much,positive,1
Thank you,positive,1
Perfect,positive,1
The best of best,positive,1
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,positive,1
Great ğŸ‘,positive,2
Fast and suitable for the customers.,neutral,1
Good app and helpful,positive,1
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",negative,1
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,negative,1
It doesn't work at all.,neutral,1
this app is not available,neutral,1
Wow what amazing,positive,1
love it,positive,1
á‰ áŒ£áˆ áˆ˜áˆ»áˆ»áˆ áŠ áˆˆá‰ á‰µ....... áˆˆ á‰£áŠ•áŠ© áˆ›á‹­áˆ˜áŒ¥áŠ• áˆ˜á‰°áŒá‰ áˆ­á‹« áŠá‹ ::,neutral,1
Lemn embi yilal??,neutral,1
Good,positive,1
It's useless app downgraded.,negative,1
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,neutral,1
Nice,positive,1
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,negative,1
áŠ á‹­áˆ°áˆ«áˆ áˆ¼áˆ áŠá‹á¤,neutral,1
Not that much bad,positive,3
Fine,positive,1
The dirtiest application ever seen...,negative,1
Nic ap,neutral,1
The forest app ever,neutral,1
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",positive,1
Bank of abissena,neutral,1
"Easy and sooo simple to use it, also its easy to stole someones money using the app",positive,1
GOOD,positive,1
The worst banking app ever. Never works!,negative,1
Poorly functioning app,neutral,1
Very nice,positive,1
Your system is the worst you should do betterğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,negative,1
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,negative,1
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",positive,1
"Iâ€™m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst Iâ€™ve used. I hope improvements are made to enhance the user experience.",negative,1
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,negative,1
It doesn't work on my 2 devices A05 and A34 ğŸ˜¡,neutral,1
It's better to say I don't use boa rather than pulling your phone out and opening this app,positive,0
My attention is very important because it will be the most difficult time for me,negative,1
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",negative,1
I don't know why but your apps start out great then all of a sudden don't workğŸ¤·â€â™€ï¸,positive,1
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,negative,1
exellent digital transaction of money,neutral,1
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,negative,1
Great,positive,2
ğŸ‘ğŸ‘ğŸ‘,neutral,1
Money,neutral,1
It needs more improvment,neutral,1
Hey Google,neutral,1
Ademtahir,neutral,1
âœŒï¸âœŒï¸,neutral,1
Please this app on my android phone,positive,1
GOAT ğŸ ğŸ,neutral,1
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",positive,1
Fast and reliable,neutral,1
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",negative,1
Very good,positive,1
One of the poorest mobile banking system,negative,1
â¤â¤â¤â¤â¤â¤,positive,1
Oene,neutral,1
i find it interesting specially in reciept downloading,positive,1
it good,positive,1
"This app crashes everytime, please fix it",positive,1
áŠ áŠ•á‹µ star áˆ«áˆ± á‹­á‰ á‹›á‰ á‰³áˆá¢ i dont recomend to use this app also the bank,neutral,1
I need a support the app is not working,positive,1
Bast bank of ethiopia,neutral,1
very slow app. áŠ á‰¢áˆ²áŠ’á‹«áŠ• áŠ¨áˆšá‹«áŠ­áˆ á‰£áŠ•áŠ­ á‹¨áˆ›á‹­áŒ á‰ á‰… software app. áŠ¨á‰»áˆ‹á‰½áˆ áˆ™áˆ‰ áˆˆáˆ™áˆ‰ áŠ¥áŠ•á‹°áŒˆáŠ“ áŠ áˆ°áˆ©á‰µá¢á‰ áŒ£áˆ á‹­áˆ˜áˆ«á‹«áˆ á‹«áˆ³ááˆ«áˆá¢áˆˆapp á‹¨á‹ˆáŒ£á‹ á‹ˆáŒ­ á‰ áˆ™áˆµáŠ“ á‹¨á‰°á‰ áˆ‹ áŠá‹ á‹¨áˆšáˆ˜áˆµáˆˆá‹á¢,neutral,1
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",positive,1
The worst App i have never seen like this before,negative,1
Wweeeer,neutral,1
Infinx,neutral,1
Great service,positive,2
This app is not available on all android versions and some times it is not functional.,neutral,1
senayt Mesfin,neutral,1
Bad app vety bad.,negative,3
Abessnya Banke,neutral,1
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",negative,1
Okay,positive,1
Professional on banking app,neutral,1
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,positive,1
áŠ á‹­áˆ°áˆ«áˆ áŠ áˆµá‰°áŠ«áŠ­áˆ‰á‰µ,neutral,1
Please try another because this app doesn't feet the need of this generation,positive,1
Fast transfer,neutral,1
"What's up I can't log in, what's wrong",negative,1
Amrumehamed,neutral,1
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please ğŸ™ğŸ™ğŸ™?",positive,1
á‹°á‹°áŒˆáŠáˆ,neutral,1
